Configuration;MeasuredValue;PredictedValue
compression%_%compressionLrzip%_%level%_%level1%_%root%_%;208900;1061419.7
compression%_%compressionLrzip%_%level%_%level2%_%root%_%;210450;1061419.7
compression%_%compressionLrzip%_%level%_%level3%_%root%_%;283750;1061419.7
compression%_%compressionLrzip%_%level%_%level4%_%root%_%;339780;1061419.7
compression%_%compressionLrzip%_%level%_%level5%_%root%_%;340590;1061419.7
compression%_%compressionLrzip%_%level%_%level6%_%root%_%;384660;1061419.7
compression%_%compressionLrzip%_%level%_%level7%_%root%_%;1062250;1061419.7
compression%_%compressionLrzip%_%level%_%level8%_%root%_%;1179830;1061419.7
compression%_%compressionLrzip%_%level%_%level9%_%root%_%;827290;1061419.7
compression%_%compressionBzip2%_%level%_%level1%_%root%_%;208350;209391.75
compression%_%compressionBzip2%_%level%_%level2%_%root%_%;213220;209391.75
compression%_%compressionBzip2%_%level%_%level3%_%root%_%;223040;209391.75
compression%_%compressionBzip2%_%level%_%level4%_%root%_%;234870;209391.75
compression%_%compressionBzip2%_%level%_%level5%_%root%_%;236720;209391.75
compression%_%compressionBzip2%_%level%_%level6%_%root%_%;248940;209391.75
compression%_%compressionBzip2%_%level%_%level7%_%root%_%;257480;209391.75
compression%_%compressionBzip2%_%level%_%level8%_%root%_%;263430;209391.75
compression%_%compressionBzip2%_%level%_%level9%_%root%_%;265980;209391.75
compression%_%compressionGzip%_%level%_%level1%_%root%_%;76470;239392.75
compression%_%compressionGzip%_%level%_%level2%_%root%_%;80360;239392.75
compression%_%compressionGzip%_%level%_%level3%_%root%_%;87690;239392.75
compression%_%compressionGzip%_%level%_%level4%_%root%_%;93090;239392.75
compression%_%compressionGzip%_%level%_%level5%_%root%_%;106090;239392.75
compression%_%compressionGzip%_%level%_%level6%_%root%_%;128450;239392.75
compression%_%compressionGzip%_%level%_%level7%_%root%_%;146410;239392.75
compression%_%compressionGzip%_%level%_%level8%_%root%_%;187970;239392.75
compression%_%compressionGzip%_%level%_%level9%_%root%_%;198360;239392.75
compression%_%compressionLzo%_%level%_%level1%_%root%_%;50520;209391.75
compression%_%compressionLzo%_%level%_%level2%_%root%_%;50610;209391.75
compression%_%compressionLzo%_%level%_%level3%_%root%_%;45490;209391.75
compression%_%compressionLzo%_%level%_%level4%_%root%_%;48050;209391.75
compression%_%compressionLzo%_%level%_%level5%_%root%_%;49850;209391.75
compression%_%compressionLzo%_%level%_%level6%_%root%_%;50420;209391.75
compression%_%compressionLzo%_%level%_%level7%_%root%_%;53060;209391.75
compression%_%compressionLzo%_%level%_%level8%_%root%_%;53480;209391.75
compression%_%compressionLzo%_%level%_%level9%_%root%_%;51500;209391.75
compression%_%compressionZpaq%_%level%_%level1%_%root%_%;673290;209391.75
compression%_%compressionZpaq%_%level%_%level2%_%root%_%;679680;209391.75
compression%_%compressionZpaq%_%level%_%level3%_%root%_%;674140;209391.75
compression%_%compressionZpaq%_%level%_%level4%_%root%_%;2267650;209391.75
compression%_%compressionZpaq%_%level%_%level5%_%root%_%;2265330;209391.75
compression%_%compressionZpaq%_%level%_%level6%_%root%_%;2265250;209391.75
compression%_%compressionZpaq%_%level%_%level7%_%root%_%;2275110;209391.75
compression%_%compressionZpaq%_%level%_%level8%_%root%_%;5765920;209391.75
compression%_%compressionZpaq%_%level%_%level9%_%root%_%;5759100;209391.75
level%_%level1%_%root%_%;41150;45830.75
level%_%level2%_%root%_%;41790;45830.75
level%_%level3%_%root%_%;42300;45830.75
level%_%level4%_%root%_%;43680;45830.75
level%_%level5%_%root%_%;43560;45830.75
level%_%level6%_%root%_%;45720;45830.75
level%_%level7%_%root%_%;44370;45830.75
level%_%level8%_%root%_%;46950;45830.75
level%_%level9%_%root%_%;45770;45830.75
compression%_%compressionLrzip%_%encryption%_%level%_%level1%_%root%_%;220490;1069464.5167
compression%_%compressionLrzip%_%encryption%_%level%_%level2%_%root%_%;222350;1069464.5167
compression%_%compressionLrzip%_%encryption%_%level%_%level3%_%root%_%;295950;1069464.5167
compression%_%compressionLrzip%_%encryption%_%level%_%level4%_%root%_%;350260;1069464.5167
compression%_%compressionLrzip%_%encryption%_%level%_%level5%_%root%_%;347130;1069464.5167
compression%_%compressionLrzip%_%encryption%_%level%_%level6%_%root%_%;395130;1069464.5167
compression%_%compressionLrzip%_%encryption%_%level%_%level7%_%root%_%;1070520;1069464.5167
compression%_%compressionLrzip%_%encryption%_%level%_%level8%_%root%_%;1185460;1069464.5167
compression%_%compressionLrzip%_%encryption%_%level%_%level9%_%root%_%;833620;1069464.5167
compression%_%compressionBzip2%_%encryption%_%level%_%level1%_%root%_%;213900;216488.25
compression%_%compressionBzip2%_%encryption%_%level%_%level2%_%root%_%;222830;216488.25
compression%_%compressionBzip2%_%encryption%_%level%_%level3%_%root%_%;233560;216488.25
compression%_%compressionBzip2%_%encryption%_%level%_%level4%_%root%_%;243700;216488.25
compression%_%compressionBzip2%_%encryption%_%level%_%level5%_%root%_%;250030;216488.25
compression%_%compressionBzip2%_%encryption%_%level%_%level6%_%root%_%;260550;216488.25
compression%_%compressionBzip2%_%encryption%_%level%_%level7%_%root%_%;263150;216488.25
compression%_%compressionBzip2%_%encryption%_%level%_%level8%_%root%_%;271090;216488.25
compression%_%compressionBzip2%_%encryption%_%level%_%level9%_%root%_%;274670;216488.25
compression%_%compressionGzip%_%encryption%_%level%_%level1%_%root%_%;88600;246896.1667
compression%_%compressionGzip%_%encryption%_%level%_%level2%_%root%_%;89260;246896.1667
compression%_%compressionGzip%_%encryption%_%level%_%level3%_%root%_%;97960;246896.1667
compression%_%compressionGzip%_%encryption%_%level%_%level4%_%root%_%;103630;246896.1667
compression%_%compressionGzip%_%encryption%_%level%_%level5%_%root%_%;114530;246896.1667
compression%_%compressionGzip%_%encryption%_%level%_%level6%_%root%_%;139600;246896.1667
compression%_%compressionGzip%_%encryption%_%level%_%level7%_%root%_%;156680;246896.1667
compression%_%compressionGzip%_%encryption%_%level%_%level8%_%root%_%;198500;246896.1667
compression%_%compressionGzip%_%encryption%_%level%_%level9%_%root%_%;205040;246896.1667
compression%_%compressionLzo%_%encryption%_%level%_%level1%_%root%_%;65730;216488.25
compression%_%compressionLzo%_%encryption%_%level%_%level2%_%root%_%;59710;216488.25
compression%_%compressionLzo%_%encryption%_%level%_%level3%_%root%_%;61770;216488.25
compression%_%compressionLzo%_%encryption%_%level%_%level4%_%root%_%;60460;216488.25
compression%_%compressionLzo%_%encryption%_%level%_%level5%_%root%_%;61210;216488.25
compression%_%compressionLzo%_%encryption%_%level%_%level6%_%root%_%;61790;216488.25
compression%_%compressionLzo%_%encryption%_%level%_%level7%_%root%_%;64550;216488.25
compression%_%compressionLzo%_%encryption%_%level%_%level8%_%root%_%;63620;216488.25
compression%_%compressionLzo%_%encryption%_%level%_%level9%_%root%_%;64620;216488.25
compression%_%compressionZpaq%_%encryption%_%level%_%level1%_%root%_%;681080;216488.25
compression%_%compressionZpaq%_%encryption%_%level%_%level2%_%root%_%;684690;216488.25
compression%_%compressionZpaq%_%encryption%_%level%_%level3%_%root%_%;681250;216488.25
compression%_%compressionZpaq%_%encryption%_%level%_%level4%_%root%_%;2288260;216488.25
