Configuration;MeasuredValue;PredictedValue
compression%_%compressionLrzip%_%level%_%level1%_%root%_%;208900;85490.1983
compression%_%compressionLrzip%_%level%_%level2%_%root%_%;210450;85490.1804
compression%_%compressionLrzip%_%level%_%level3%_%root%_%;283750;85490.1983
compression%_%compressionLrzip%_%level%_%level4%_%root%_%;339780;85490.1983
compression%_%compressionLrzip%_%level%_%level5%_%root%_%;340590;85490.1983
compression%_%compressionLrzip%_%level%_%level6%_%root%_%;384660;85490.1983
compression%_%compressionLrzip%_%level%_%level7%_%root%_%;1062250;85490.1983
compression%_%compressionLrzip%_%level%_%level8%_%root%_%;1179830;85490.1983
compression%_%compressionLrzip%_%level%_%level9%_%root%_%;827290;85490.1983
compression%_%compressionBzip2%_%level%_%level1%_%root%_%;208350;85491.4137
compression%_%compressionBzip2%_%level%_%level2%_%root%_%;213220;85491.4885
compression%_%compressionBzip2%_%level%_%level3%_%root%_%;223040;85491.3937
compression%_%compressionBzip2%_%level%_%level4%_%root%_%;234870;85491.3937
compression%_%compressionBzip2%_%level%_%level5%_%root%_%;236720;85491.3937
compression%_%compressionBzip2%_%level%_%level6%_%root%_%;248940;85491.3937
compression%_%compressionBzip2%_%level%_%level7%_%root%_%;257480;85491.3937
compression%_%compressionBzip2%_%level%_%level8%_%root%_%;263430;85491.3937
compression%_%compressionBzip2%_%level%_%level9%_%root%_%;265980;85491.3937
compression%_%compressionGzip%_%level%_%level1%_%root%_%;76470;85489.8007
compression%_%compressionGzip%_%level%_%level2%_%root%_%;80360;85489.7807
compression%_%compressionGzip%_%level%_%level3%_%root%_%;87690;85489.8206
compression%_%compressionGzip%_%level%_%level4%_%root%_%;93090;85489.8206
compression%_%compressionGzip%_%level%_%level5%_%root%_%;106090;85489.8206
compression%_%compressionGzip%_%level%_%level6%_%root%_%;128450;85489.8206
compression%_%compressionGzip%_%level%_%level7%_%root%_%;146410;85489.8206
compression%_%compressionGzip%_%level%_%level8%_%root%_%;187970;85489.8206
compression%_%compressionGzip%_%level%_%level9%_%root%_%;198360;85489.8206
compression%_%compressionLzo%_%level%_%level1%_%root%_%;50520;85489.5333
compression%_%compressionLzo%_%level%_%level2%_%root%_%;50610;85489.4415
compression%_%compressionLzo%_%level%_%level3%_%root%_%;45490;85489.5333
compression%_%compressionLzo%_%level%_%level4%_%root%_%;48050;85489.5333
compression%_%compressionLzo%_%level%_%level5%_%root%_%;49850;85489.5333
compression%_%compressionLzo%_%level%_%level6%_%root%_%;50420;85489.5333
compression%_%compressionLzo%_%level%_%level7%_%root%_%;53060;85489.5333
compression%_%compressionLzo%_%level%_%level8%_%root%_%;53480;85489.5333
compression%_%compressionLzo%_%level%_%level9%_%root%_%;51500;85489.5333
compression%_%compressionZpaq%_%level%_%level1%_%root%_%;673290;85490.1983
compression%_%compressionZpaq%_%level%_%level2%_%root%_%;679680;85490.1804
compression%_%compressionZpaq%_%level%_%level3%_%root%_%;674140;85490.1983
compression%_%compressionZpaq%_%level%_%level4%_%root%_%;2267650;85490.1983
compression%_%compressionZpaq%_%level%_%level5%_%root%_%;2265330;85490.1983
compression%_%compressionZpaq%_%level%_%level6%_%root%_%;2265250;85490.1983
compression%_%compressionZpaq%_%level%_%level7%_%root%_%;2275110;85490.1983
compression%_%compressionZpaq%_%level%_%level8%_%root%_%;5765920;85490.1983
compression%_%compressionZpaq%_%level%_%level9%_%root%_%;5759100;85490.1983
level%_%level1%_%root%_%;41150;85490.0277
level%_%level2%_%root%_%;41790;85489.9908
level%_%level3%_%root%_%;42300;85490.0277
level%_%level4%_%root%_%;43680;85490.0277
level%_%level5%_%root%_%;43560;85490.0277
level%_%level6%_%root%_%;45720;85490.0277
level%_%level7%_%root%_%;44370;85490.0277
level%_%level8%_%root%_%;46950;85490.0277
level%_%level9%_%root%_%;45770;85490.0277
compression%_%compressionLrzip%_%encryption%_%level%_%level1%_%root%_%;220490;85490.3602
compression%_%compressionLrzip%_%encryption%_%level%_%level2%_%root%_%;222350;85490.3602
compression%_%compressionLrzip%_%encryption%_%level%_%level3%_%root%_%;295950;85490.3602
compression%_%compressionLrzip%_%encryption%_%level%_%level4%_%root%_%;350260;85490.3602
compression%_%compressionLrzip%_%encryption%_%level%_%level5%_%root%_%;347130;85490.3602
compression%_%compressionLrzip%_%encryption%_%level%_%level6%_%root%_%;395130;85490.3602
compression%_%compressionLrzip%_%encryption%_%level%_%level7%_%root%_%;1070520;85490.3602
compression%_%compressionLrzip%_%encryption%_%level%_%level8%_%root%_%;1185460;85490.3602
compression%_%compressionLrzip%_%encryption%_%level%_%level9%_%root%_%;833620;85490.3602
compression%_%compressionBzip2%_%encryption%_%level%_%level1%_%root%_%;213900;85491.5833
compression%_%compressionBzip2%_%encryption%_%level%_%level2%_%root%_%;222830;85491.6791
compression%_%compressionBzip2%_%encryption%_%level%_%level3%_%root%_%;233560;85491.5644
compression%_%compressionBzip2%_%encryption%_%level%_%level4%_%root%_%;243700;85491.5644
compression%_%compressionBzip2%_%encryption%_%level%_%level5%_%root%_%;250030;85491.5644
compression%_%compressionBzip2%_%encryption%_%level%_%level6%_%root%_%;260550;85491.5644
compression%_%compressionBzip2%_%encryption%_%level%_%level7%_%root%_%;263150;85491.5644
compression%_%compressionBzip2%_%encryption%_%level%_%level8%_%root%_%;271090;85491.5644
compression%_%compressionBzip2%_%encryption%_%level%_%level9%_%root%_%;274670;85491.5644
compression%_%compressionGzip%_%encryption%_%level%_%level1%_%root%_%;88600;85490.018
compression%_%compressionGzip%_%encryption%_%level%_%level2%_%root%_%;89260;85490.02
compression%_%compressionGzip%_%encryption%_%level%_%level3%_%root%_%;97960;85490.0369
compression%_%compressionGzip%_%encryption%_%level%_%level4%_%root%_%;103630;85490.0369
compression%_%compressionGzip%_%encryption%_%level%_%level5%_%root%_%;114530;85490.0369
compression%_%compressionGzip%_%encryption%_%level%_%level6%_%root%_%;139600;85490.0369
compression%_%compressionGzip%_%encryption%_%level%_%level7%_%root%_%;156680;85490.0369
compression%_%compressionGzip%_%encryption%_%level%_%level8%_%root%_%;198500;85490.0369
compression%_%compressionGzip%_%encryption%_%level%_%level9%_%root%_%;205040;85490.0369
compression%_%compressionLzo%_%encryption%_%level%_%level1%_%root%_%;65730;85489.6592
compression%_%compressionLzo%_%encryption%_%level%_%level2%_%root%_%;59710;85489.5814
compression%_%compressionLzo%_%encryption%_%level%_%level3%_%root%_%;61770;85489.6592
compression%_%compressionLzo%_%encryption%_%level%_%level4%_%root%_%;60460;85489.6592
compression%_%compressionLzo%_%encryption%_%level%_%level5%_%root%_%;61210;85489.6592
compression%_%compressionLzo%_%encryption%_%level%_%level6%_%root%_%;61790;85489.6592
compression%_%compressionLzo%_%encryption%_%level%_%level7%_%root%_%;64550;85489.6592
compression%_%compressionLzo%_%encryption%_%level%_%level8%_%root%_%;63620;85489.6592
compression%_%compressionLzo%_%encryption%_%level%_%level9%_%root%_%;64620;85489.6592
compression%_%compressionZpaq%_%encryption%_%level%_%level1%_%root%_%;681080;85490.3602
compression%_%compressionZpaq%_%encryption%_%level%_%level2%_%root%_%;684690;85490.3602
compression%_%compressionZpaq%_%encryption%_%level%_%level3%_%root%_%;681250;85490.3602
compression%_%compressionZpaq%_%encryption%_%level%_%level4%_%root%_%;2288260;85490.3602
compression%_%compressionZpaq%_%encryption%_%level%_%level5%_%root%_%;2282110;85490.3602
compression%_%compressionZpaq%_%encryption%_%level%_%level6%_%root%_%;2273900;85490.3602
compression%_%compressionZpaq%_%encryption%_%level%_%level7%_%root%_%;2282560;85490.3602
compression%_%compressionZpaq%_%encryption%_%level%_%level8%_%root%_%;5802460;85490.3602
compression%_%compressionZpaq%_%encryption%_%level%_%level9%_%root%_%;5810950;85490.3602
encryption%_%level%_%level1%_%root%_%;49760;85490.1804
encryption%_%level%_%level2%_%root%_%;53200;85490.1604
encryption%_%level%_%level3%_%root%_%;56980;85490.1804
encryption%_%level%_%level4%_%root%_%;54820;85490.1804
encryption%_%level%_%level5%_%root%_%;53500;85490.1804
encryption%_%level%_%level6%_%root%_%;56570;85490.1804
encryption%_%level%_%level7%_%root%_%;61280;85490.1804
encryption%_%level%_%level8%_%root%_%;56430;85490.1804
encryption%_%level%_%level9%_%root%_%;59650;85490.1804
compression%_%compressionLrzip%_%level%_%level1%_%root%_%unlimitedWindowSize%_%;212880;85490.3602
compression%_%compressionLrzip%_%level%_%level2%_%root%_%unlimitedWindowSize%_%;210810;85490.3602
compression%_%compressionLrzip%_%level%_%level3%_%root%_%unlimitedWindowSize%_%;284060;85490.3602
compression%_%compressionLrzip%_%level%_%level4%_%root%_%unlimitedWindowSize%_%;339360;85490.3602
compression%_%compressionLrzip%_%level%_%level5%_%root%_%unlimitedWindowSize%_%;340300;85490.3602
compression%_%compressionLrzip%_%level%_%level6%_%root%_%unlimitedWindowSize%_%;383910;85490.3602
compression%_%compressionLrzip%_%level%_%level7%_%root%_%unlimitedWindowSize%_%;1061640;85490.3602
compression%_%compressionLrzip%_%level%_%level8%_%root%_%unlimitedWindowSize%_%;1178930;85490.3602
compression%_%compressionLrzip%_%level%_%level9%_%root%_%unlimitedWindowSize%_%;828640;85490.3602
compression%_%compressionBzip2%_%level%_%level1%_%root%_%unlimitedWindowSize%_%;208080;85491.5654
